== Nodes = 32
== Processes = 4096

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                   20001.30
2                   19890.53
4                   20008.56
8                   19982.46
16                  20058.72
32                  19968.46
64                  20342.62
128                 20625.84
256                 22647.45
512                 25539.94
1024                35390.20
2048                57576.07
4096                99976.77
8192               181199.58
16384              361281.37
32768              719600.59
65536             1440464.07
131072            2886336.61
