== Nodes = 128
== Processes = 16384

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                     579.61
2                     719.48
4                     970.93
8                    1469.76
16                   2501.86
32                   2834.75
64                   4516.28
128                  7953.30
256                 15060.79
512                 27054.65
1024                48715.80
2048                98708.71
4096               208139.11
8192               138219.63
16384              277560.34
32768              546668.48
