== Nodes = 128
== Processes = 16384

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      35.84
8                      31.78
16                     34.13
32                     33.45
64                     37.62
128                    42.73
256                    46.83
512                   119.45
1024                  136.03
2048                  230.57
4096                  314.78
8192                  512.07
16384                1015.58
32768                1930.06
65536                 312.59
131072                427.01
262144                740.68
524288               1179.47
1048576              2649.64
