== Nodes = 4
== Processes = 512

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     106.26
2                     108.62
4                     114.81
8                     128.13
16                    163.02
32                    245.77
64                    418.82
128                   783.83
256                  1898.12
512                  4652.27
1024                 3065.15
2048                 4900.35
4096                 8842.26
8192                17438.89
16384               35096.67
32768               70695.78
65536              142935.93
131072             289191.56
262144             586007.19
524288            1149966.89
1048576           2344686.66
